drink_alcohol,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,famrel,freetime,goout,health,absences,Marks
0,GP,F,16,U,LE3,T,4,4,teacher,teacher,mother,1,2,4,5,2,3,0,11
1,GP,F,16,U,GT3,T,4,3,health,other,mother,1,2,4,3,5,2,2,15
1,GP,F,16,U,GT3,T,2,3,other,other,mother,1,2,4,4,3,4,4,12
1,GP,F,17,U,GT3,T,1,1,other,other,mother,1,2,4,4,4,1,0,15
0,GP,F,17,R,GT3,T,2,2,other,other,mother,1,1,5,3,2,3,21,13
0,GP,F,16,R,GT3,T,2,2,services,services,mother,2,4,5,3,5,5,6,13
1,GP,F,17,U,GT3,T,3,4,at_home,services,mother,1,3,4,4,3,5,14,8
1,GP,F,16,U,GT3,A,3,1,services,other,mother,1,2,2,3,3,4,2,12
0,GP,F,16,U,GT3,T,4,3,teacher,other,mother,1,2,1,3,2,1,4,15
1,GP,F,16,U,GT3,T,1,1,at_home,other,mother,2,1,4,3,2,5,2,13
0,GP,F,17,R,GT3,T,4,3,teacher,other,mother,2,3,4,4,2,4,0,12
0,GP,F,19,U,GT3,T,3,3,other,other,other,1,4,4,3,3,3,4,12
1,GP,M,17,U,LE3,T,4,4,services,other,mother,1,2,5,3,5,3,15,12
0,GP,F,16,U,GT3,A,2,2,other,other,mother,1,2,3,3,4,4,0,13
1,GP,M,18,U,GT3,T,2,2,services,other,mother,1,2,4,4,4,5,10,11
0,GP,F,17,R,LE3,T,4,4,services,other,mother,1,1,5,2,1,3,6,11
1,GP,F,17,U,LE3,T,3,2,other,other,mother,2,2,4,4,4,1,2,15
1,GP,F,17,U,GT3,T,4,3,other,other,mother,1,2,3,4,5,1,16,10
1,GP,M,18,U,LE3,T,3,3,services,health,father,1,2,3,2,4,4,10,10
1,GP,F,17,U,GT3,T,2,3,at_home,other,father,2,1,3,3,3,3,4,13
0,GP,F,17,U,GT3,T,2,2,at_home,at_home,mother,1,3,4,3,3,4,0,13
0,GP,F,17,R,GT3,T,2,1,at_home,services,mother,2,2,4,2,5,5,0,11
0,GP,F,17,U,GT3,T,1,1,at_home,other,mother,1,3,4,3,4,5,12,12
0,GP,F,16,U,GT3,T,2,3,services,teacher,mother,1,2,2,3,1,3,0,14
1,GP,M,18,U,GT3,T,2,2,other,other,mother,2,2,3,3,3,4,9,10
0,GP,F,16,U,GT3,T,4,4,teacher,services,mother,1,3,5,3,2,5,4,16
0,GP,F,18,R,GT3,T,3,1,other,other,mother,1,2,5,3,3,4,4,8
1,GP,F,17,U,GT3,T,3,2,other,other,mother,1,2,5,3,4,3,2,17
1,GP,M,17,U,LE3,T,2,3,services,services,father,1,2,5,3,3,3,0,11
1,GP,M,18,U,LE3,T,2,1,at_home,other,mother,4,2,4,3,2,3,2,11
0,GP,F,17,U,GT3,A,2,1,other,other,mother,2,3,3,2,3,3,0,16
0,GP,F,17,U,LE3,T,4,3,health,other,father,1,2,3,2,3,3,0,12
0,GP,M,17,R,GT3,T,2,2,other,other,father,2,2,4,5,2,1,0,13
1,GP,M,17,U,GT3,T,4,4,teacher,teacher,mother,1,2,4,5,5,2,0,13
1,GP,M,16,U,GT3,T,4,4,health,other,father,1,2,4,2,4,1,0,14
0,GP,M,16,U,LE3,T,1,1,other,other,mother,2,2,3,4,2,5,2,9
1,GP,M,16,U,GT3,T,3,2,at_home,other,mother,2,3,5,3,3,2,0,12
1,GP,M,17,U,LE3,T,2,2,other,other,father,1,2,4,4,2,4,0,16
0,GP,F,16,U,GT3,T,2,1,other,other,mother,1,1,4,5,2,5,4,10
0,GP,F,16,U,GT3,A,4,1,other,other,mother,1,2,5,3,3,5,0,13
0,GP,F,18,U,LE3,A,2,4,services,other,mother,2,2,4,3,3,3,18,10
0,GP,F,18,U,LE3,T,2,2,at_home,services,mother,1,2,5,3,1,5,16,10
0,GP,F,18,U,GT3,T,3,3,other,other,mother,2,1,4,1,1,3,14,7
1,GP,M,18,U,GT3,T,2,2,other,at_home,other,1,1,4,4,3,1,26,8
0,GP,M,17,U,GT3,T,4,4,teacher,teacher,mother,1,1,4,2,1,5,6,9
0,GP,F,17,U,GT3,T,3,2,other,other,father,1,2,5,4,2,3,4,15
0,GP,F,17,U,LE3,T,1,1,at_home,at_home,mother,1,3,4,3,2,4,10,10
0,GP,F,16,U,GT3,T,1,2,other,other,mother,1,1,5,3,5,5,4,11
0,GP,F,17,R,GT3,T,2,1,at_home,services,mother,3,2,2,1,1,3,2,13
0,GP,F,17,R,LE3,A,1,4,other,other,other,4,1,5,5,4,5,14,8
1,GP,M,18,U,GT3,T,2,2,other,services,father,1,2,5,5,4,2,16,8
0,GP,F,17,U,LE3,A,2,2,other,other,mother,1,1,3,1,2,1,8,10
1,GP,F,17,R,LE3,T,1,1,at_home,other,mother,2,3,4,3,3,5,4,15
0,GP,F,17,U,LE3,A,4,2,teacher,other,mother,1,2,4,3,2,4,4,14
1,GP,M,17,U,LE3,T,4,3,health,other,mother,2,2,2,5,5,5,8,15
1,GP,M,17,R,LE3,A,4,4,teacher,other,mother,2,2,3,3,3,4,0,12
0,GP,M,16,U,LE3,T,4,3,teacher,other,mother,1,1,5,4,5,3,7,15
0,GP,M,16,U,GT3,T,4,4,services,services,mother,1,1,5,3,2,5,4,15
1,GP,F,17,U,GT3,T,4,4,teacher,services,mother,1,2,5,3,1,5,2,12
0,GP,M,17,R,GT3,T,1,1,other,other,father,2,3,4,3,3,1,2,15
1,GP,F,17,U,GT3,T,3,3,services,other,mother,2,3,4,2,2,5,10,11
0,GP,F,17,U,GT3,T,1,1,at_home,other,mother,1,2,4,3,2,4,10,10
0,GP,F,18,U,GT3,T,2,1,other,other,other,2,3,4,4,4,3,10,11
0,GP,M,16,U,GT3,T,2,1,other,other,mother,3,1,4,3,3,4,7,16
0,GP,F,17,U,GT3,T,1,1,other,services,father,1,2,4,3,4,5,4,11
0,GP,M,17,U,GT3,T,2,3,other,other,father,2,1,5,2,2,2,2,13
1,GP,M,22,U,GT3,T,3,1,services,services,mother,1,1,5,4,5,1,12,5
1,GP,M,18,R,LE3,T,3,3,other,services,mother,1,2,4,3,3,5,8,10
1,GP,M,16,U,GT3,T,0,2,other,other,mother,1,1,4,3,2,5,0,11
1,GP,M,18,U,GT3,T,3,2,services,other,mother,2,1,4,4,5,5,8,7
1,GP,M,16,U,GT3,T,3,3,at_home,other,other,3,2,5,3,3,2,4,10
1,GP,M,18,U,GT3,T,2,1,services,services,mother,1,1,3,2,5,5,4,6
1,GP,M,16,R,GT3,T,2,1,other,other,mother,2,1,3,3,2,3,2,12
1,GP,M,17,R,GT3,T,2,1,other,other,mother,1,1,4,4,2,5,0,13
0,GP,M,17,U,LE3,T,1,1,health,other,mother,2,1,4,4,4,5,0,10
1,GP,F,18,U,LE3,A,2,1,other,other,mother,1,2,4,3,4,5,2,13
0,GP,F,17,U,LE3,T,4,2,teacher,services,mother,1,4,4,2,3,4,2,17
0,GP,F,19,U,GT3,T,2,2,services,services,mother,1,2,4,3,3,5,0,11
1,GP,M,18,U,LE3,T,2,1,services,other,mother,3,2,4,4,5,5,4,11
1,GP,F,17,R,GT3,T,4,2,other,other,mother,1,3,4,3,4,5,2,14
1,GP,F,18,U,LE3,T,1,1,other,at_home,mother,1,3,4,4,3,3,4,14
0,GP,F,18,R,GT3,T,2,2,other,other,mother,1,2,3,2,3,5,4,13
0,GP,M,19,U,LE3,A,4,3,services,at_home,mother,1,2,4,3,1,1,4,14
0,GP,M,18,U,GT3,T,2,1,other,other,mother,1,2,5,2,4,4,2,16
0,GP,M,17,R,GT3,T,2,2,other,services,mother,2,1,5,2,2,4,0,10
0,GP,F,17,U,LE3,T,2,2,services,services,father,1,4,3,4,1,2,2,12
0,GP,F,20,R,GT3,T,2,1,other,other,other,2,2,1,2,3,2,8,12
1,GP,F,18,U,GT3,T,4,3,services,other,father,1,2,3,1,2,2,2,15
0,GP,M,18,U,GT3,T,4,3,teacher,other,mother,1,2,4,3,2,3,2,11
0,GP,M,18,R,GT3,T,3,2,other,other,mother,1,3,5,3,2,3,2,12
0,GP,F,17,U,GT3,T,3,3,other,other,mother,1,3,3,2,3,4,2,13
0,GP,F,18,U,GT3,T,2,2,at_home,services,mother,1,3,4,3,3,3,0,13
1,GP,M,17,U,GT3,T,2,2,other,other,father,2,1,4,4,4,4,8,9
1,GP,M,18,R,LE3,A,3,4,other,other,mother,2,2,4,2,5,1,6,16
1,GP,M,17,U,GT3,T,3,1,services,other,mother,1,2,5,4,4,5,0,14
1,GP,F,18,R,GT3,T,4,4,teacher,other,mother,2,2,4,3,4,4,8,12
1,GP,M,18,U,GT3,T,4,2,health,other,father,1,2,5,4,5,5,4,14
0,GP,F,18,R,GT3,T,2,1,other,other,mother,2,2,4,3,5,3,12,10
1,GP,F,19,U,GT3,T,3,3,other,services,other,1,2,4,3,5,5,16,12
1,GP,F,18,U,GT3,T,2,3,other,services,father,1,4,4,5,5,2,10,16
0,GP,F,18,U,LE3,T,1,1,other,other,mother,2,2,4,4,3,3,2,13
1,GP,M,17,R,GT3,T,1,2,at_home,at_home,mother,1,2,3,5,2,1,2,18
0,GP,F,18,U,GT3,T,2,1,other,other,mother,1,2,4,2,5,1,8,15
0,GP,F,17,U,GT3,T,2,4,at_home,health,mother,2,2,4,3,3,1,6,16
1,GP,F,17,U,LE3,T,2,2,services,other,mother,2,2,4,4,4,5,6,12
0,GP,F,18,R,GT3,A,3,2,other,services,mother,2,2,4,1,1,5,15,10
1,GP,M,18,U,GT3,T,4,4,teacher,services,mother,2,1,3,2,4,3,6,12
0,GP,F,18,U,GT3,T,4,4,health,health,father,1,2,2,4,4,4,2,13
0,GP,F,17,U,GT3,T,2,2,other,services,father,3,3,4,2,3,1,8,15
1,GP,F,19,R,GT3,T,3,2,services,services,father,1,2,3,3,3,3,0,10
0,GP,M,18,U,LE3,T,4,3,teacher,services,mother,2,1,4,2,3,1,0,10
1,GP,M,18,U,GT3,T,1,2,at_home,other,other,2,1,3,4,4,4,10,11
1,GP,M,17,U,LE3,A,4,1,services,other,mother,2,1,4,5,4,5,22,10
1,GP,M,17,U,LE3,A,3,2,teacher,services,mother,1,1,4,4,4,3,18,13
0,GP,F,18,R,LE3,T,1,1,at_home,other,mother,2,4,5,2,2,3,2,18
0,GP,F,18,U,GT3,T,1,1,other,other,mother,2,2,5,4,4,4,0,13
0,GP,F,17,U,GT3,T,2,2,other,other,mother,1,2,5,4,5,5,12,14
0,GP,F,18,U,GT3,T,2,1,other,other,mother,2,2,4,3,1,5,10,14
0,GP,M,17,U,GT3,T,1,1,other,other,father,1,2,4,3,3,4,0,12
0,GP,F,18,U,GT3,T,2,2,at_home,at_home,mother,1,3,4,3,3,2,0,18
0,GP,F,17,U,GT3,T,1,1,services,teacher,mother,1,3,4,3,3,3,0,14
1,GP,M,18,U,GT3,T,2,1,services,services,mother,1,3,4,2,4,2,0,15
0,GP,M,18,U,LE3,A,4,4,teacher,teacher,mother,1,2,5,4,3,2,0,17
1,GP,M,18,U,GT3,T,4,2,teacher,other,mother,1,2,4,3,2,5,2,16
0,GP,F,17,U,GT3,T,4,3,health,services,mother,1,3,4,2,2,3,0,18
0,GP,F,17,R,LE3,T,3,1,services,other,mother,2,4,3,1,2,3,0,19
0,GP,M,18,R,LE3,T,3,2,services,other,mother,2,3,5,4,2,4,0,15
1,GP,M,17,U,GT3,T,3,3,health,other,mother,1,1,4,4,3,5,0,15
1,GP,F,19,U,GT3,T,4,4,health,other,other,2,2,2,3,4,2,2,13
0,GP,F,18,U,LE3,T,4,3,other,other,other,2,2,4,4,5,2,0,14
0,GP,F,18,U,GT3,T,4,3,other,other,father,1,4,4,3,3,3,0,17
1,GP,M,18,U,LE3,T,4,4,teacher,teacher,mother,1,1,1,4,2,1,0,17
0,GP,F,18,U,LE3,A,4,4,health,other,mother,1,2,4,2,4,4,0,15
1,GP,M,17,U,LE3,T,4,4,other,teacher,father,2,1,4,1,1,5,0,13
0,GP,F,17,R,GT3,T,4,4,services,services,mother,2,3,5,3,4,5,0,8
0,GP,F,17,U,GT3,T,4,2,other,other,mother,2,3,4,3,3,3,0,16
0,GP,F,17,U,GT3,T,3,2,health,health,father,1,4,5,2,2,5,0,18
0,GP,M,19,R,LE3,T,2,1,at_home,services,mother,2,3,4,3,1,5,0,11
0,GP,M,20,U,GT3,A,3,2,services,other,other,1,1,5,5,3,5,0,15
0,GP,M,19,R,GT3,T,3,3,other,services,father,1,2,4,5,3,5,0,11
0,GP,F,18,U,GT3,T,1,4,other,teacher,mother,1,2,3,4,4,5,2,11
0,GP,F,18,U,GT3,T,2,1,services,other,mother,2,2,5,3,3,1,2,15
0,GP,F,17,U,GT3,T,2,3,other,other,father,2,2,4,2,1,3,2,14
0,GP,F,17,R,GT3,T,4,4,teacher,teacher,mother,1,1,4,4,4,5,2,17
0,GP,F,18,U,GT3,T,4,3,other,other,mother,1,3,4,3,4,5,2,17
1,GP,F,18,U,LE3,T,4,3,health,services,mother,2,1,3,2,4,1,8,15
1,GP,F,17,R,GT3,T,3,4,at_home,services,father,1,3,4,3,4,5,2,17
0,GP,F,18,U,GT3,T,3,3,at_home,other,father,1,2,4,1,4,3,8,14
0,GP,M,19,U,GT3,T,4,2,health,other,mother,2,2,5,4,4,1,9,10
1,GP,F,18,U,GT3,T,4,4,teacher,other,mother,1,2,4,4,4,5,0,13
0,GP,F,18,U,GT3,T,3,4,other,other,mother,1,1,5,4,4,1,4,14
0,GP,F,17,U,GT3,T,4,4,health,health,mother,1,1,5,3,4,5,2,17
0,GP,F,17,U,GT3,A,4,3,services,services,mother,1,2,5,2,2,5,14,17
0,GP,F,17,U,LE3,A,3,3,services,other,mother,1,2,5,3,3,5,0,13
1,GP,F,17,U,LE3,T,2,1,other,other,father,1,2,4,2,3,2,2,14
1,GP,M,18,U,LE3,T,4,4,other,other,father,1,1,4,2,5,5,2,11
1,GP,F,19,U,GT3,T,1,1,other,other,other,3,3,1,5,5,5,12,11
0,GP,F,19,U,LE3,A,1,1,other,other,other,3,2,5,3,4,4,2,9
1,GP,F,18,U,GT3,T,2,2,other,other,mother,1,1,4,3,5,5,2,10
0,GP,F,17,U,GT3,T,2,2,other,other,mother,1,2,4,2,2,3,4,13
1,GP,F,17,R,LE3,T,2,2,services,services,mother,1,3,3,3,2,3,0,10
1,GP,F,17,U,GT3,T,3,1,services,services,father,1,3,3,4,3,5,0,17
1,GP,F,17,U,LE3,T,0,2,at_home,at_home,father,2,3,3,3,3,2,0,15
0,GP,F,18,U,GT3,T,1,1,other,other,mother,2,3,4,5,5,2,0,14
1,GP,M,18,U,GT3,T,4,4,other,other,mother,1,3,4,3,3,3,0,13
1,GP,M,17,U,GT3,T,3,3,other,services,mother,1,1,4,3,5,5,0,17
1,GP,M,17,R,GT3,T,2,2,services,other,mother,4,1,4,4,5,4,2,10
1,GP,F,17,U,GT3,T,4,4,teacher,services,mother,1,3,5,4,4,4,0,13
0,GP,F,17,U,GT3,T,4,4,teacher,teacher,mother,2,3,4,3,3,4,4,15
1,GP,F,17,U,GT3,T,3,3,at_home,other,mother,1,1,4,2,5,5,2,11
1,GP,M,18,U,LE3,T,2,2,other,other,mother,1,4,4,5,5,5,0,12
1,GP,M,19,R,GT3,T,3,2,at_home,services,other,1,1,5,3,4,5,0,10
0,GP,F,18,U,GT3,T,2,2,at_home,other,mother,4,2,4,2,5,2,2,10
0,GP,F,17,R,GT3,T,2,4,at_home,other,father,1,3,4,4,3,5,0,15
0,GP,M,18,U,GT3,T,2,2,other,other,mother,1,1,5,4,2,5,6,15
0,GP,F,18,U,GT3,T,3,3,services,services,mother,1,2,5,3,4,4,8,12
0,GP,F,18,U,LE3,T,2,2,other,other,other,1,2,4,3,3,2,0,12
0,GP,F,18,R,GT3,T,2,2,at_home,other,mother,2,4,4,4,4,4,6,14
1,GP,F,17,U,GT3,T,3,4,services,other,mother,1,3,4,4,5,5,8,14
1,GP,F,17,U,GT3,T,3,2,other,other,mother,1,2,4,3,2,2,0,15
0,GP,F,18,U,LE3,T,3,3,services,services,mother,1,4,5,3,3,1,4,15
1,GP,F,17,R,GT3,A,3,2,other,other,mother,1,2,4,3,3,2,0,16
1,GP,M,18,U,GT3,T,4,4,teacher,services,father,1,2,4,3,3,2,0,13
1,GP,M,18,U,LE3,T,3,4,services,other,mother,1,2,4,3,3,5,6,17
0,GP,F,17,U,GT3,A,2,2,at_home,at_home,father,1,2,3,3,1,4,18,14
0,GP,F,18,U,GT3,T,2,3,at_home,other,mother,1,3,4,3,3,3,0,14
1,GP,F,18,U,GT3,T,3,2,other,services,mother,1,3,5,4,3,1,4,17
0,GP,M,18,R,GT3,T,4,3,teacher,services,mother,1,3,5,3,2,4,4,17
1,GP,M,18,U,GT3,T,4,3,teacher,other,mother,1,3,5,4,5,5,0,14
1,GP,F,17,U,GT3,T,4,3,health,other,mother,1,3,4,4,3,4,0,13
1,GP,F,17,U,GT3,T,2,1,services,other,mother,2,2,4,3,4,1,10,15
1,GP,F,17,U,GT3,T,2,1,services,other,mother,1,2,4,3,5,4,4,16
1,GP,F,19,U,LE3,A,2,3,at_home,other,other,2,1,2,2,3,5,16,11
0,GP,F,17,U,GT3,T,3,1,other,at_home,mother,1,1,4,1,2,3,6,13
0,GP,F,21,U,LE3,T,4,4,other,other,other,1,3,3,3,2,5,0,12
1,GP,M,18,U,LE3,T,2,2,services,services,mother,1,2,4,4,4,3,11,12
1,GP,M,18,U,LE3,A,3,4,other,other,other,1,2,4,3,5,2,9,15
1,GP,F,17,U,GT3,T,2,2,services,services,mother,1,2,4,3,4,4,0,17
0,GP,M,17,U,LE3,A,4,4,health,other,mother,1,3,4,4,2,4,2,15
0,GP,F,18,U,LE3,T,4,2,teacher,other,mother,1,2,4,2,2,3,0,17
1,GP,M,21,R,LE3,T,1,1,at_home,other,other,2,2,5,3,3,4,21,10
1,GP,F,20,R,GT3,T,1,1,other,other,other,2,3,3,2,2,3,8,15
1,GP,F,19,U,GT3,T,4,4,teacher,other,other,1,1,3,2,5,5,5,11
0,GP,M,17,U,LE3,A,3,2,other,other,mother,1,2,4,4,4,5,10,18
0,GP,F,18,U,GT3,T,3,2,at_home,other,father,1,3,4,3,4,2,5,17
1,GP,M,18,R,GT3,T,2,3,other,services,father,1,1,3,1,3,4,13,14
1,GP,M,19,U,GT3,T,2,1,other,other,mother,1,1,5,3,4,4,10,11
1,GP,F,18,U,LE3,A,2,2,services,other,mother,2,2,4,1,4,4,10,17
0,GP,F,20,U,GT3,T,1,0,other,other,mother,2,1,5,3,1,5,5,10
0,GP,F,18,U,GT3,T,3,2,services,other,mother,1,2,3,1,2,1,4,13
1,MS,F,16,U,GT3,T,1,3,at_home,other,father,2,1,4,3,3,5,11,11
0,MS,F,16,R,GT3,T,2,2,other,other,mother,2,2,4,4,4,5,0,12
0,MS,F,15,R,GT3,T,1,1,at_home,services,mother,1,1,4,1,3,2,6,10
1,MS,F,15,R,GT3,T,3,3,at_home,other,mother,2,1,5,4,4,5,4,11
0,MS,F,16,R,GT3,T,2,3,at_home,services,mother,2,2,4,5,2,5,0,17
0,MS,F,15,R,LE3,T,2,1,at_home,other,mother,2,1,1,3,4,1,0,9
1,MS,M,16,R,LE3,A,4,4,at_home,other,mother,1,2,5,3,2,2,5,11
